Index: 24 | Entry: bacʼohya· | Absolutive: bacʼo hya· | Generated Absolutive: bacʼohya·
Index: 71 | Entry: *bahkʰel | Absolutive: bahkʰel | Generated Absolutive: bahkʰelʔ
Index: 97 | Entry: *bahpʰihpʰi | Absolutive: bahpʰihpʰiʔ | Generated Absolutive: bahpʰihpʰiw
Index: 99 | Entry: *bahpʰuṭay | Absolutive: bapʰuṭayʔ | Generated Absolutive: bahpʰuṭayʔ
Index: 107 | Entry: *bahqʰayad | Absolutive: bahqʰayadu | Generated Absolutive: bahqʰaya·du
Index: 112 | Entry: *bahsam | Absolutive: bahsam | Generated Absolutive: bahsamʔ
Index: 123 | Entry: *bahšona·tad | Absolutive: bašona·tadu | Generated Absolutive: bahšona·tadu
Index: 130 | Entry: *bahtsitad | Absolutive: bahtsitadu | Generated Absolutive: bahtsita·du
Index: 138 | Entry: *bahṭʰahṭʰac | Absolutive: bahṭʰahṭʰaw | Generated Absolutive: bahṭʰahṭʰaʔ
Index: 179 | Entry: *bana·lamecʼ | Absolutive: bana·lameʔ | Generated Absolutive: banala·meʔ
Index: 205 | Entry: *batayʔta | Absolutive: bahtayʔtaw | Generated Absolutive: batayʔtaw
Index: 221 | Entry: *baṭʼawʔcʼic | Absolutive: baṭʼiawʔcʼiʔ | Generated Absolutive: baṭʼawʔcʼiʔ
Index: 262 | Entry: *baʔqʼoʔdiwad | Absolutive: baʔqʼoʔdowa·du | Generated Absolutive: baʔqʼoʔdiwa·du
Index: 282 | Entry: *baʔṭašci | Absolutive: baʔṭaš | Generated Absolutive: baʔṭašciw
Index: 343 | Entry: *bihkelh | Absolutive: bihkelhʔ | Generated Absolutive: bihkelʔ
Index: 349 | Entry: *bihlasʼ | Absolutive: bihlaʔ | Generated Absolutive: bihlasʼ
Index: 360 | Entry: *bihpʰa·šma | Absolutive: bihpʰaš | Generated Absolutive: bihpʰašmaw
Index: 361 | Entry: *bihpʰuṭay | Absolutive: bihpʰiṭayʔ | Generated Absolutive: bihpʰuṭayʔ
Index: 400 | Entry: *biqʰam | Absolutive: biʰamʔ | Generated Absolutive: biqʰamʔ
Index: 401 | Entry: biqʰama· tol | Absolutive: biqʰama· tolʔ | Generated Absolutive: biqʰama· tol
Index: 415 | Entry: *bitayʔta | Absolutive: bihtayʔtaw | Generated Absolutive: bitayʔtaw
Index: 424 | Entry: *biyo·lma | Absolutive: biyo·lmaw | Generated Absolutive: biyolmaw
Index: 436 | Entry: *biʔkʼiʔkʼi | Absolutive: biʔkʼiʔkʼiʔ | Generated Absolutive: biʔkʼiʔkʼiw
Index: 448 | Entry: *biʔqʼoʔdiwad | Absolutive: biʔqʼoʔdowa·du | Generated Absolutive: biʔqʼoʔdiwa·du
Index: 473 | Entry: *bohyo | Absolutive: bohyomʔ | Generated Absolutive: bohyow
Index: 481 | Entry: bo·tʼ | Absolutive: botʼ | Generated Absolutive: boʔ
Index: 482 | Entry: *bo·tʼamqa | Absolutive: botʼamqaw | Generated Absolutive: bo·tʼamqaw
Index: 546 | Entry: *cahmucamutad | Absolutive: cahmucamutadu | Generated Absolutive: cahmucamuta·du
Index: 558 | Entry: *cahpihpi | Absolutive: cahpihpi | Generated Absolutive: cahpihpiw
Index: 559 | Entry: *cahpitʼci | Absolutive: cahpitʼ | Generated Absolutive: cahpitʼciw
Index: 564 | Entry: *cahpʰaqʼ | Absolutive: cahpʰaqʼciw | Generated Absolutive: cahpʰaʔ
Index: 566 | Entry: *cahpʰihpʰi | Absolutive: cahpʰihpʰiʔ | Generated Absolutive: cahpʰihpʰiw
Index: 579 | Entry: *cahsam | Absolutive: cahsam | Generated Absolutive: cahsamʔ
Index: 587 | Entry: *cahta·la | Absolutive: cahtalaw | Generated Absolutive: cahta·law
Index: 590 | Entry: *cahtošci | Absolutive: cahtoš | Generated Absolutive: cahtošciw
Index: 598 | Entry: *cahṭʰe | Absolutive: cahṭʰe | Generated Absolutive: cahṭʰew
Index: 602 | Entry: cahwe·nmucʼ | Absolutive: cumatʰma· cahwenmuʔ | Generated Absolutive: cahwenmuʔ
Index: 606 | Entry: *caka·nma | Absolutive: cakanʔ | Generated Absolutive: cakanmaw
Index: 609 | Entry: *cakʼahci | Absolutive: caʔkʼahciw | Generated Absolutive: cakʼahciw
Index: 669 | Entry: *caʔcʼetad | Absolutive: caʔcʼetadu | Generated Absolutive: caʔcʼeta·du
Index: 693 | Entry: *caʔqʼoʔdiwad | Absolutive: caʔqʼoʔdowa·du | Generated Absolutive: caʔqʼoʔdiwa·du
